순위,도서명,저자,출판사,출판년도,ISBN,KDC,KDC명,대출건수
72,"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법 ",요한 하리 지음 ;김하현 옮김,어크로스(어크로스출판그룹),2023,9791167740984,181.27,철학 > 심리학 > 각론,42
72,GV 빌런 고태경 :2020 한경신춘문예 당선작 ,지은이: 정대건,은행나무,2020,9791190492430,813.7,문학 > 한국문학 > 소설,42
76,피프티 피플 :정세랑 장편소설 ,지은이: 정세랑,창비,2016,9788936434243,813.7,문학 > 한국문학 > 소설,41
76,살인자의 기억법 :김영하 장편소설 ,지은이: 김영하,문학동네,2013,9788954622035,813.62,문학 > 한국문학 > 소설,41
76,7년의 밤 :정유정 장편소설 ,지은이: 정유정,은행나무,2011,9788956604992,813.7,문학 > 한국문학 > 소설,41
76,행성어 서점 :김초엽 짧은 소설 ,지은이: 김초엽 ;그린이: 최인호,마음산책,2021,9788960907003,813.7,문학 > 한국문학 > 소설,41
76,직장 상사 악령 퇴치부 :이사구 연작소설집 ,지은이: 이사구,황금가지,2024,9791170523550,813.7,문학 > 한국문학 > 소설,41
76,메리골드 마음 세탁소 =윤정은 장편소설 /Marigold mind laundry ,글: 윤정은,북로망스,2023,9791191891287,813.7,문학 > 한국문학 > 소설,41
82,흰 :한강 소설 ,지은이: 한강,문학동네,2018,9788954651134,813.62,문학 > 한국문학 > 소설,40
82,불편한 편의점 :김호연 장편소설 ,지은이: 김호연,나무옆의자,2021,9791161571188,813.7,문학 > 한국문학 > 소설,40
82,오로라 ,지은이: 최진영,위즈덤하우스,2024,9791168127500,813.7,문학 > 한국문학 > 소설,40
82,탕비실 :이미예 소설 ,지은이: 이미예,오팬하우스,2024,9791198809940,813.7,문학 > 한국문학 > 소설,40
86,빛과 실 ,지은이: 한강,문학과지성사,2025,9788932043562,814.7,문학 > 한국문학 > 수필,39
86,유령의 마음으로 :임선우 소설집 ,지은이: 임선우,민음사,2022,9788937442698,813.7,문학 > 한국문학 > 소설,39
86,가면산장 살인사건 ,지은이: 히가시노 게이고 ;옮긴이: 김난주,재인,2014,9788990982575,833.6,문학 > 일본문학 > 소설,39
86,당신들은 이렇게 시간 전쟁에서 패배한다 ,"아말 엘모흐타르,장성주 옮김",황금가지,2021,9791158889609,843.6,문학 > 영미문학 > 소설,39
86,미키7 :에드워드 애슈턴 SF 장편소설 ,지은이: 에드워드 애슈턴 ;옮긴이: 배지혜,황금가지,2022,9791170521730,843.6,문학 > 영미문학 > 소설,39
86,히든 픽처스 ,제이슨 르쿨락 지음 ;유소영 옮김,문학수첩,2024,9791193790083,843.6,문학 > 영미문학 > 소설,39
86,긴키 지방의 어느 장소에 대하여 :세스지 장편소설 ,지은이: 세스지 ;옮긴이: 전선영,오팬하우스,2025,9791194654063,833.6,문학 > 일본문학 > 소설,39
86,공룡의 이동 경로 :김화진 소설 ,지은이: 김화진,스위밍꿀,2023,9791196074470,813.7,문학 > 한국문학 > 소설,39
86,다정한 것이 살아남는다 ,"지은이: 브라이언 헤어,옮긴이: 이민아",디플롯,2021,9791197413025,182.4,철학 > 심리학 > 차이심리학,39
86,에디토리얼 씽킹 =모든 것이 다 있는 시대의 창조적 사고법 /Editorial thinking ,최혜진 지음,Turtleneck Press(터틀넥프레스),2023,9791198340924,011.4,"총류 > 도서학, 서지학 > 저작권법",39
96,치치새가 사는 숲 :장진영 장편소설 ,지은이: 장진영,민음사,2023,9788937473852,813.7,문학 > 한국문학 > 소설,38
96,날씨가 좋으면 찾아가겠어요 :이도우 장편소설 ,지은이: 이도우,시공사,2018,9788952791160,813.7,문학 > 한국문학 > 소설,38
96,포스 윙 ,레베카 야로스 지음 ;이수현 옮김,미래엔,2024,9791168418455,843.6,문학 > 영미문학 > 소설,38
96,작별인사 :김영하 장편소설 ,지은이: 김영하,복복서가,2022,9791191114225,813.62,문학 > 한국문학 > 소설,38
100,여자의 우정은 첫사랑이다 :세상 가장 다정하고 복잡한 관계에 대하여 ,릴리 댄시거 지음 ;송섬별 옮김,문학동네,2025,9791141609245,848,문학 > 영미문학 > 르포르타주 및 기타,37
100,나의 작은 무법자 ,크리스 휘타커 지음 ;김해온 옮김,위즈덤하우스,2025,9791171713721,843.6,문학 > 영미문학 > 소설,37
100,"첫 여름, 완주 :김금희 장편소설 ",저자 : 김금희,무제,2025,9791197221989,813.7,문학 > 한국문학 > 소설,37
103,돈은 좋지만 재테크는 겁나는 너에게 ,뿅글이 지음,첨단,2023,9788960306134,327.04,사회과학 > 경제학 > 금융,36
103,희망 :양귀자 장편소설 ,지은이: 양귀자,쓰다,2020,9788998441081,813.62,문학 > 한국문학 > 소설,36
103,종의 기원담 :김보영 연작소설 ,지은이: 김보영,아작,2023,9791166687204,813.7,문학 > 한국문학 > 소설,36
103,이상한 그림 ,우케쓰 지음 ;김은모 옮김,교보문고,2023,9791170610182,833.6,문학 > 일본문학 > 소설,36
107,고래:천명관 장편소설,천명관 지음,문학동네,2004,9788982819278,813.6,문학 > 한국문학 > 소설,35
107,누굴 죽였을까 :정해연 장편소설 ,지은이: 정해연,교보문고,2024,9791170611028,813.7,문학 > 한국문학 > 소설,35
109,"궤도의 밖에서, 나의 룸메이트에게 :전삼혜 장편소설 ",지은이: 전삼혜,문학동네,2021,9788954679527,813.7,문학 > 한국문학 > 소설,34
109,나미야 잡화점의 기적 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,현대문학,2012,9788972756194,833.6,문학 > 일본문학 > 소설,34
109,동경 :김화진 장편소설 ,지은이: 김화진,문학동네,2024,9791141600785,813.7,문학 > 한국문학 > 소설,34
109,달러구트 꿈 백화점 :이미예 장편소설,지은이: 이미예,팩토리나인,2021,9791165343729,813.7,문학 > 한국문학 > 소설,34
109,당신이 누군가를 죽였다 ,지은이: 히가시노 게이고 ;옮긴이: 최고은,교보문고,2024,9791170611561,833.6,문학 > 일본문학 > 소설,34
114,더 셜리 클럽 :박서련 장편소설 ,지은이: 박서련,민음사,2020,9788937473296,813.7,문학 > 한국문학 > 소설,33
114,가재가 노래하는 곳 :델리아 오언스 장편소설 ,지은이: 델리아 오언스 ;옮긴이: 김선형,살림출판사,2019,9788952240569,843.6,문학 > 영미문학 > 소설,33
114,여름을 한 입 베어 물었더니 :이꽃님 장편소설 ,글쓴이: 이꽃님,문학동네,2023,9788954694575,813.7,문학 > 한국문학 > 소설,33
